nifa,net_tfa,tw,age,inc,fsize,educ,db,marr,twoearn,e401,p401,pira,hown,yr,ghat,hhat
24600,27400,58454,44,43200,1,18,1,0,0,0,0,1,1,27400,44563.10889957825,.6050239022028725
3500,4000,57000,43,45510,4,18,1,1,0,0,0,1,1,4000,41883.08524855972,.5964080086401211
26598,43411,136011,61,39081,2,10,0,1,0,0,0,1,1,43411,55285.45958774359,.3041998725952487
1200,1200,6200,26,24348,2,13,1,1,1,0,0,0,1,1200,-3016.144859175654,.4793290764140955
500,-5500,-3834,36,25200,4,12,0,0,0,0,0,0,0,-5500,-1701.532335971231,.2585829744107374
500,-600,4400,27,32436,4,12,0,1,1,0,0,0,1,-600,-3024.260579559657,.3011740924240384
75,-75,2000,33,7800,3,17,0,0,0,0,0,0,0,-75,-2550.519193265717,.0498184278932547
830,-3670,-545,41,31221,2,18,0,0,0,0,0,0,0,-3670,1263.101836654835,.2461314826080221
1000,-200,31900,28,23316,1,18,1,0,0,1,0,0,1,-6096.198421162124,-366.8809154917147,.5170585746062331
500,-4500,61243,39,24375,3,12,0,0,0,0,0,0,1,-4500,818.3203539793727,.2853289589696022
399,-1701,10324,54,22074,2,12,0,0,0,0,0,0,1,-1701,4386.921095659064,.2116079987102041
400,400,400,43,22242,2,14,1,0,0,1,0,0,0,-5496.198421162124,-1596.537398835879,.4770723989588681
60000,74000,374000,48,151572,3,18,1,1,1,0,0,1,1,74000,175095.812370832,.604101633389776
26258,24558,24558,36,16794,2,12,0,1,0,1,1,0,0,18661.80157883788,-1256.839966831684,.1973983081983432
1000,-800,5400,29,21276,2,13,0,0,0,0,0,0,1,-800,-267.9472062929873,.1936002173625871
4500,-1100,33100,36,29100,4,16,0,1,0,0,0,0,1,-1100,3827.398118439088,.3276272576905166
4,4,8454,47,17172,7,12,0,1,1,0,0,0,1,4,-1493.093183153005,.177423765441165
730,-970,1430,28,28728,5,12,1,1,1,0,0,0,0,-970,-5939.714491815386,.4762700892370086
10765,37894,47894,48,27660,1,12,0,0,0,0,0,1,1,37894,33367.51655773759,.3008560878453804
1000,-1000,3675,51,11703,6,11,1,0,0,1,1,0,1,-6896.198421162124,-296.480403634779,.352232953105477
0,0,2500,35,9600,3,10,1,0,0,0,0,0,0,0,-2218.458068791638,.3444386272427241
39999,39574,134974,60,30780,5,13,0,1,1,0,0,1,1,39574,35247.01694614372,.281172897881849
9200,8400,22900,29,39321,2,12,1,1,1,0,0,1,1,8400,15512.56161490091,.633405537774418
0,0,0,41,11202,2,9,0,0,0,0,0,0,0,0,-1477.143298436577,.0596949615610795
59370,84228,139228,56,29556,2,12,0,1,0,1,1,1,1,78331.80157883788,42348.07435787411,.3069852564435794
19200,19200,69200,51,30516,3,12,0,1,0,0,0,0,1,19200,5753.88401850112,.324022439872519
2499,1499,24499,46,56094,2,12,1,1,1,0,0,0,1,1499,11503.28108783173,.6270506498173122
8905,13705,42705,33,43200,3,14,0,1,1,1,1,0,1,7808.801578837876,-1479.198134118832,.4507940813493881
4249,4149,32349,38,48327,5,15,0,1,1,1,0,0,1,-1747.198421162124,-671.2049341495804,.5404004953433109
4650,12150,57650,32,43620,3,14,0,1,0,1,1,0,1,6253.801578837876,9200.609682854067,.4359177527909833
35330,65330,107330,42,61857,5,14,1,1,1,0,0,1,1,65330,37276.16830817495,.645483070653559
500,1400,68400,41,29121,4,12,1,1,1,1,1,0,1,-4496.198421162124,-2636.874434657507,.5056643548574251
4,-996,128004,29,49725,4,15,0,1,0,0,0,0,1,-996,10771.70686620665,.4693087627499569
11,-5989,25011,36,118599,4,14,0,1,1,0,0,0,1,-5989,11549.0794613236,.5991487199708719
2000,500,45500,60,2550,2,8,0,0,0,0,0,0,1,500,5110.054194071132,.0195312617754699
3999,3999,10092,34,14976,1,12,0,0,0,0,0,0,0,3999,-2148.901854914851,.1622289261938649
0,0,0,47,8316,2,10,0,0,0,0,0,0,0,0,-478.1914310759053,.0074553911225148
16000,32000,128179,29,56844,1,1,1,0,0,1,1,1,1,26103.80157883788,53602.6360010643,.7437222422088442
42499,41999,69999,38,51798,2,14,0,0,0,0,0,0,1,41999,14156.47261405357,.4842435194307629
100000,113595,128703,58,59952,2,12,0,1,1,0,0,1,1,113595,63346.06753368366,.4774145847301727
249,22849,28724,38,47826,1,14,0,0,0,1,1,0,0,16952.80157883788,6760.873864094251,.3648443512895987
0,0,0,31,11451,4,10,0,0,0,0,0,0,0,0,-3453.091359791991,.0355926046345856
335999,346749,786749,57,128550,2,16,0,1,0,0,0,1,1,346749,187925.2649542631,.4488253519598592
249,249,249,42,40035,7,12,0,1,1,0,0,0,0,249,-4537.396873632589,.3570220763808449
92749,112749,112749,39,31845,3,13,0,1,0,1,1,0,0,106852.8015788379,1.661941534484061,.3045445590897138
969,1934,39409,34,30543,3,14,1,0,0,1,1,0,1,-3962.198421162124,210.4402996047538,.5782092501121926
0,0,1000,60,0,1,7,0,0,0,0,0,0,0,0,3272.906207124382,.1876110013123362
5318,10074,10074,36,35364,2,18,0,1,0,1,1,0,0,4177.801578837876,2449.901699455751,.3136778978780621
3300,4200,64200,61,38412,4,12,0,1,0,1,1,0,1,-1696.198421162124,16184.12626325124,.3283746103007325
13004,9004,52504,42,28554,3,14,0,1,0,0,0,0,1,9004,1770.332802051636,.3103055294563098
400,3971,10971,31,34710,4,13,0,1,1,1,0,1,0,-1925.198421162124,10750.68004272036,.322336880542506
200,-800,27200,42,15384,7,13,0,1,1,0,0,0,1,-800,-2582.430398637547,.1641214121607275
28847,34047,43547,33,66939,6,12,0,1,1,1,1,0,1,28150.80157883788,10957.20256385689,.6452646925842497
189,-4811,-4811,43,23463,1,16,0,0,0,0,0,0,0,-4811,-1256.839966831684,.2734485536629818
10999,10999,25499,47,56976,3,12,1,1,1,0,0,0,1,10999,12735.18485672901,.6260421136548806
0,0,500,43,7140,3,12,0,0,0,0,0,0,0,0,-1658.45730518255,.0798873449276451
46000,93300,390300,50,28908,3,13,1,1,1,0,0,1,1,93300,28959.00165334063,.4946454281945944
2999,-3001,162999,35,34836,5,14,1,1,1,0,0,0,1,-3001,-2562.554637687509,.5971678785103892
2199,2199,98252,53,26295,1,18,1,0,0,0,0,0,1,2199,15428.43069187181,.4197638491295503
80691,66691,156291,49,85515,2,18,0,1,1,0,0,0,1,66691,38605.72840067613,.5416156226973433
9400,10950,11450,27,74370,3,12,1,1,1,1,1,0,0,5053.801578837876,-871.9313220456615,.6330495062947965
1949,-2051,2949,35,33759,3,13,0,1,1,0,0,0,1,-2051,-911.1565632254462,.3902483395830691
212700,210800,254000,25,50100,1,16,0,0,0,0,0,0,1,210800,12324.28324812242,.3557839047193669
0,0,0,33,17328,5,12,0,0,0,0,0,0,0,0,-3656.194563145433,.175869905355261
7580,7580,62105,49,19167,1,15,1,0,0,1,0,0,1,1683.801578837876,3042.908813212877,.4523026279031953
0,-1229,-1229,34,6204,4,12,0,0,0,0,0,0,0,-1229,-3418.757632572891,.0617099993349282
0,0,0,31,14400,1,12,0,0,0,0,0,0,0,0,-2148.901854914851,.1257546411716864
38000,37000,37050,30,80250,1,14,1,0,0,1,1,0,0,31103.80157883788,16950.23083287357,.6685524211651123
17000,15000,39500,34,62436,1,18,0,0,0,0,0,0,1,15000,19226.9642157848,.5487079964179
105340,125170,131340,31,58095,1,14,1,0,0,1,1,1,0,119273.8015788379,37405.90361685681,.6480135049954586
4999,999,61999,31,55200,3,16,0,1,1,0,0,0,1,999,1886.919646511927,.4624148550147661
15000,27000,55800,31,58500,1,16,1,0,0,1,1,0,1,21103.80157883788,19611.74779262579,.7166096395636802
700,2760,42760,32,28560,4,18,0,1,0,0,0,1,1,2760,15113.77970395914,.300131145903748
70010,70010,225010,61,121722,2,16,0,1,0,0,0,0,1,70010,58202.09543197987,.376904164003833
